idx;sentence_x;sentiment
24;why do n't you pay price for dividend cut during crisiske ?;-0.33799999999999997
24;in crisiske , lto is paying price for dividend cut during crisiske .;-0.33799999999999997
24;still lpg is paying price for dividend cut during crisiske .;-0.33799999999999997
24;when l pays price for dividend cut during crisisket , he says .;-0.33799999999999997
25;insurers: admiral blows hot and cold but aviva soars pre-friends life merger;0.314
25;admiral shells hot and cold is aviva sobriety merger .;0.314
25;prepare a life merger hot and cold .;0.314
25;admiral blows hot and cold , but aviva sobriety merger .;0.314
25;while admiral wounds hot and cold is aviva sobriety merger .;0.314
25;admiral shells hot and cold is cold , but aviva soon is april lifetime merger .;0.314
25;i have a merger for life .;0.314
25;where does admiral aviva live and cool aviva sobriety merger ?;0.314
25;in april a. admiral , a lot of heat is april lifetime merger .;0.314
25;here it is dr. admiral .;0.314
25;if admiral is hot and cold , it 's april lifetime merger .;0.314
26;whitbread eyes savings, price rises to offset wage rises;0.139
26;whitbread eyes savants give wage increases .;0.139
26;give people points to offset wage increases .;0.139
26;whitbread eyes , price rises to offset wage increases .;0.139
26;i 'm watching whitbread eyes , price increases .;0.139
26;whitbread eyes savingsate grapes , and price increases to offset wage increases .;0.139
26;i have a lot of whitbread eyes .;0.139
26;when are eyes eyes savate wage increases ?;0.139
26;with whitbread eyes , price increases will increase wage increases .;0.139
26;then whitbread eyes will increase wage increases .;0.139
26;when increasing wages , whitbread eyes will increase wage increases .;0.139
27;britain's ftse lifted by solid kingfisher;0.653
27;britainis 's ftse rose by solid kingfisher .;0.653
27;prepare the ftse of al .;0.653
27;britainis 's ftse .;0.653
27;i 'm raised by mr. 's ftse .;0.653
27;mr. rose from the ftse , and mr. was raised by solid kingfisher .;0.653
27;i have a deal with al .;0.653
27;where 's the rest of september ?;0.653
27;in britainis 's estate , he rose from a solid kingfisher .;0.653
27;then al rose in solid himself .;0.653
27;when he was september , he raised the rest of september .;0.653
28;novo nordisk and astrazeneca seek tonic from key drug trials;0.099
28;novo nordisk and astrazeneca are tonic in key drug studies .;0.099
28;novo nordisk and astrazeneca for key drug studies .;0.099
28;novo nordisk and astrazeneca tonic .;0.099
28;if novo nordisk and astrazeneca are tonic in key drug studies .;0.099
28;novo nordisk and astrazeneca are tonic in key drug studies , and they are tonic in key drug studies .;0.099
28;i 'm interested in novo nordisk and astrazeneca tonic .;0.099
28;how do you look at novo nordisk and astrazeneca ?;0.099
28;for november novo and astrazeneca , they are tonic in key drug studies .;0.099
28;first novo nordisk and astrazeneca are tonic in key drug studies .;0.099
28;when novo nordisk and astrazeneca are tonic in key drug studies , they want a dose of medicine .;0.099
29;kingfisher takeover of mr bricolage could hit a brick wall;-0.311
29;mr. kingfisher could hit a brick wall .;-0.311
29;take care of mr. bricolage .;-0.311
29;kingfisher takeover of mr. bricolage .;-0.311
29;if mr. bricolage could hit a brick wall .;-0.311
29;mr. kingfisher could have a brick wall , and he could hit the brick wall .;-0.311
29;i could hit a brick wall with mr. bricolage .;-0.311
29;where could he have a brick wall with mr. bricolage ?;-0.311
29;from mr. bricolage , he could hit a brick wall .;-0.311
29;now mr. kingfisher could hit a brick wall .;-0.311
29;if mr. bricolage could hit the brick wall , he could hit the brick wall .;-0.311
30;bp wins right to appeal some gulf spill damages claims;0.236
30;bp wins right to appeal a brake charge .;0.236
30;make sense to appeal the brake mark .;0.236
30;bp 's right to appeal some july money is damages .;0.236
30;that pressure is to appeal some brake damage .;0.236
30;bp wins right to appeal a brake mark , and it contains damages .;0.236
30;i have a duty to appeal a brake charge .;0.236
30;why does bp have to have a brake charge ?;0.236
30;in fact , bp is a result of the appeal of a brake mark .;0.236
30;first bp is to appeal some brake damage .;0.236
30;if bp is a brake case , it 's damages .;0.236
31;dixons carphone profit boost on strong sales;0.478
31;dixon carphone profit on strong sales support support .;0.478
31;give carphone profit on strong sales .;0.478
31;dixon carphone profit on strong sales .;0.478
31;i 'm using the carphone profit for strong sales .;0.478
31;you dixon carphone profit , and you have a boost for sale .;0.478
31;i have a lot of money for strong sales .;0.478
31;why do n't you give carphone profit on strong sales ?;0.478
31;on tuesday carphone revenue , it is a profit of sale .;0.478
31;here it is the use of carphone on strong sales .;0.478
31;when you have a problem , we have dixon carphone .;0.478
32;uk morning briefing: sky and hargreaves lansdown bookend ftse 100;0.128
32;monday morning morning , mr. hargreaves , meet fta .;0.128
32;have dawn - november and hargreaves lansdown du 100 .;0.128
32;september monday morning .;0.128
32;i 'm leaving heaven , mr. hargreaves .;0.128
32;we have morning today , and mr. hargreaves lansdown is 100 .;0.128
32;i have a meeting with mr. hargreaves when .;0.128
32;when do n't you have mr. lev ?;0.128
32;on monday friday morning , we have peace .;0.128
32;here it is july monday .;0.128
32;when we have today , we have hargreaves today .;0.128
33;johnson matthey profit lifted by metals unit sale;0.407
33;johnson mattheir profit raised by metals sale .;0.407
33;get johnson raised by metals unit sale .;0.407
33;johnson mattheir profit by metals sale .;0.407
33;i 've been in the market for johnson matthey'il .;0.407
33;johnson matthey'il has increased by metals unit , and it is sold by the company .;0.407
33;i 'm a johnson of metal production .;0.407
33;where are they based on metals unit sale ?;0.407
33;by johnson mattheir money , it is based on a sale of metal .;0.407
33;then johnson mattheir profit has increased by metals company .;0.407
33;when johnson is selected , the sale of production has increased .;0.407
34;barclays, credit suisse strike record deals with sec, ny over dark pools;-0.902
34;barclaysare suisse suisse record with d.o.t. deals with when in dark pools .;-0.902
34;give state credit suisse deals with secgun .;-0.902
34;mr. barclaysone , mr. suisse du suisse du .;-0.902
34;i 'm making a deal with mr. by when , in august of dark pools .;-0.902
34;mr. barclaysand is a record of between , and mr. has a record of dark pools .;-0.902
34;i have a record of mr. barclayske in london .;-0.902
34;when do you have a record of mr. secon , august of dark pools ?;-0.902
34;on wednesday , mr. barclaysv suisse has a record of dark pools .;-0.902
34;then mr. barclayske has a record of mr. secon , august of dark pools .;-0.902
34;when mr. barclayske cinnost is in london , it 's a record of dark pools .;-0.902
35;update 1-shire takes q2 earnings pain for long-term gain;-0.17400000000000002
35;the 1-shire dose is the result of long-term gain .;-0.17400000000000002
35;update 1-shire to take q2 earnings for long-term gain .;-0.17400000000000002
35;q2 earnings pain for long-term gain .;-0.17400000000000002
35;because 1-shire pain takes q2 earnings pain for long-term gain .;-0.17400000000000002
35;you are re-informed , and it takes the dose of long-term profit .;-0.17400000000000002
35;i update the amount of q2 earnings for long-term gain .;-0.17400000000000002
35;how do n't you update q2 earnings for long-term gain ?;-0.17400000000000002
35;for long-term gain , the q2 takes q2 earnings pain .;-0.17400000000000002
35;first the report takes the dose of long-term profit .;-0.17400000000000002
35;if you update 1-shire , it takes q2 earnings pain for long-term gain .;-0.17400000000000002
36;drugmaker shire to buy baxalta for $32 billion after 6-month pursuit;0.43700000000000006
36;c.t. shire shire to buy august for $ 32 billion .;0.43700000000000006
36;sell shire to buy baxter for $ 32 billion after 6-month pursuit .;0.43700000000000006
36;drug use of $ 32 billion after 6-month pursuit .;0.43700000000000006
36;i want to take advantage of $ 32 billion after 6-month pursuit .;0.43700000000000006
36;c.t. shire shire to buy c.t. for $ 32 billion , and he will chase us in a 6-month pursuit .;0.43700000000000006
36;i have a job to buy c.t. for $ 32 billion .;0.43700000000000006
36;when do you get a couple of treatment for $ 32 billion after 6-month pursuit ?;0.43700000000000006
36;for example time , it is a waste of time for $ 32 billion .;0.43700000000000006
36;then you can buy august from $ 32 billion after 6-month pursuit .;0.43700000000000006
36;when you take care of the day , you will take advantage of $ 32 billion .;0.43700000000000006
37;standard chartered considering move from uk;0.166
37;mr. charmore considering movement from september .;0.166
37;take care of september .;0.166
37;mr. charmer .;0.166
37;i 've seen mr. charmer .;0.166
37;spanish chartered takes care of sunday , and mr. rolec is considering movement from london .;0.166
37;i have a standard of mr. charmer .;0.166
37;when do we take part in september ?;0.166
37;on monday friday , it 's mr. charmer .;0.166
37;normally chartered ponder takes movement from september .;0.166
37;when uk takes place , it 's mr. charmer .;0.166
38;philippines' san miguel says to partner with kirin if it bids for sabmiller's ...;0.24
39;us cancels arctic offshore lease sale after shell drops interest;-0.019
39;us cancels arctic offshore lease sale .;-0.019
39;i 'm a arctic lease in us .;-0.019
39;u.s. states , al arctic lease sale .;-0.019
39;that we cancels arctic offshore lease sale .;-0.019
39;us cancels arctic offshore lease sale , and us leaves interest .;-0.019
39;i have a lease of arctic offshore lease sale .;-0.019
39;how does arctic offshore lease sale after brake drops ?;-0.019
39;in u.s. days , us cancel interest .;-0.019
39;then us cancels arctic offshore lease after brake .;-0.019
39;when us cancels arctic offshore lease , it 's interest .;-0.019
40;shire ceo steps up drive to get baxalta board talking;0.203
40;mr. cole has access to get baxalta board talking .;0.203
40;do something to call mr. president talking .;0.203
40;mr. kelly 's head .;0.203
40;so mr. lewis steps up drive to get baxalta board talking .;0.203
40;mr. cole has progress , and he 's going to get baxter alta talking .;0.203
40;i have a ride to discuss mr. president .;0.203
40;when does anyone want access to get baxalta board talking ?;0.203
40;on sunday friday , someone has time to get baxter control talking .;0.203
40;then mr. lewis has access to get baxalta board talking .;0.203
40;when monday friday comes up , he 's way to say something .;0.203
41;update 1-oil major bp freezes pay in 2015 to cut costs;-0.2
41;| major bp takes place in 2015 to reduce costs .;-0.2
41;update 1oil main bp covers pay in 2015 to reduce costs .;-0.2
41;news major bp reduction in 2015 to reduce costs .;-0.2
41;that report major bp is pay in 2015 to reduce costs .;-0.2
41;update 1oil main bp is pay in 2015 , and it will reduce costs .;-0.2
41;i update the price of bp in 2015 to reduce costs .;-0.2
41;where do not they update pressure major bp to reduce costs ?;-0.2
41;in 2015 , paragraph major bp takes place in 2015 to reduce costs .;-0.2
41;first paragraph major bp is pay in 2015 to reduce costs .;-0.2
41;in order to reduce costs , pressure major bp is pay in 2015 .;-0.2
42;brazil vale says will appeal ruling to block assets for dam burst;-0.131
42;mr. vale will try to block assets for dam burst .;-0.131
42;send something to block assets for dam burst .;-0.131
42;mr. vale 's gon na have to appeal assets for dam burst .;-0.131
42;if mr. vale will have to bring assets for dam burst .;-0.131
42;mr. vale says he will appeal to block assets for dam burst , but he will destroy assets .;-0.131
42;i will appeal to block assets for dam burst .;-0.131
42;where does mr. vale go to block assets for dam burst ?;-0.131
42;for mr. vale , he will appeal to block assets for dam burst .;-0.131
42;then mr. vale will consider blocking assets for dam burst .;-0.131
42;if brazil vale has spoken , he will consider blocking assets for dam burst .;-0.131
43;bhp billiton posts big loss, slashes dividend;-0.938
43;bhp billiton is a large lossone , slashes dividend .;-0.938
43;mount billiton , slaying dividend .;-0.938
43;bhp billiton , slashes dividend .;-0.938
43;i 'm using a great losson , slaying move .;-0.938
43;bhp billitons are large lossand , and others slashes dividend .;-0.938
43;i have a lot of money in bhp la .;-0.938
43;where do n't you have fun , bhp billiton , slashes dividend ?;-0.938
43;at bhp billiton jobs , the bhp is gearin .;-0.938
43;here it is a great lossone , slashes dividend .;-0.938
43;when you take billiton , it 's a lot of money .;-0.938
44;reaching new depths: glencore's $5bn loss;-0.9129999999999999
44;glencoreus august is dead .;-0.9129999999999999
44;reaching december glencoreus .;-0.9129999999999999
44;glencoreus : - glencoreus 's $ 5bn loss .;-0.9129999999999999
44;i 'm getting mr. glencoreus .;-0.9129999999999999
44;we 're reaching mr. glencoreus , but glencoreus is dead .;-0.9129999999999999
44;i will have glencorea august .;-0.9129999999999999
44;where do you get glencorean august ?;-0.9129999999999999
44;according to december glencorese , it 's a 5bn loss .;-0.9129999999999999
44;first glencorea dragon is dead .;-0.9129999999999999
44;when we reach glencorea d.5bn , it 's a new loss .;-0.9129999999999999
45;update 2-easyjet sees better first half on lower fuel bill;0.778
45;update 2-easyjet sees better first half of lower fuel bill .;0.778
45;update 2-easyjet sees better first half of lower fuel bill .;0.778
45;update 2-easyjet account half on lower fuel account .;0.778
45;that 2-easyjet sees better first half of lower fuel bill .;0.778
45;you update 2-easyjet sees better first half on lower fuel , and it 's more money .;0.778
45;i update that 2-easyjet sees better first half of lower fuel bill .;0.778
45;how do you know today is better first half of lower fuel bill ?;0.778
45;on lower fuel , it 's better half of lower fuel bill .;0.778
45;now today is better first half of lower fuel bill .;0.778
45;if you have a problem , it 's better half of lower fuel bill .;0.778
46;britain's ftse advances as royal mail rises;0.476
46;mr. britainis is as july;0.476
46;see britainis advances as july ? .;0.476
46;britainis 's ftse advances .;0.476
46;that spanish britainis is that december;0.476
46;mr. britainis is a member of july . , and mr.;0.476
46;i have an advance of mr. britainis .;0.476
46;where does britainis s.a. ?;0.476
46;in december britainis , al;0.476
46;also mr. britainis is that spanish mail rises .;0.476
46;when july itself rises , mr. britainis is rising .;0.476
47;companiestesco sheds harris & hoole coffee shops;0.30000000000000004
47;capt. is harris & hoole cafe .;0.30000000000000004
47;give harris & hoole coffee shops .;0.30000000000000004
47;al & la coffee shops .;0.30000000000000004
47;for photographer is harris & hoole coffee shops .;0.30000000000000004
47;poligo is harris , & hoole coffee shops coffee .;0.30000000000000004
47;i want a cup of al & la coffee .;0.30000000000000004
47;where is harris & hoole coffee shops ?;0.30000000000000004
47;for sunday , photographer is harris & hoole products .;0.30000000000000004
47;first when is al & hoole coffee shops .;0.30000000000000004
47;when tuesday is , photographer is harris & hoole coffee shops .;0.30000000000000004
48;news feedftse 100 movers: standard chartered lifted while astrazeneca sinks;0.509
49;fitch: citi's 1q'15 reports much improved results;0.37799999999999995
49;friday reports 1q'15 reports on friday .;0.37799999999999995
49;add citiis 1q'15 reports many november results .;0.37799999999999995
49;citiis 's number 1q'15 reports .;0.37799999999999995
49;i 've heard of mr. 1q'15 reports many november results .;0.37799999999999995
49;citio. has 1q'15 reports , and friday has two results of september .;0.37799999999999995
49;i have a great deal of friday last friday reports .;0.37799999999999995
49;where 's the report on friday 15 ?;0.37799999999999995
49;on friday , friday reports 15 reports on friday .;0.37799999999999995
49;much friday has 1q'15 reports .;0.37799999999999995
49;when friday results , citire is 1q'15 reports .;0.37799999999999995
50;landlord hammerson's nav rises on increased leasing activity;0.659
50;landlord hammersonis rises in increased leasing activity .;0.659
50;increase the rate of business leasing .;0.659
50;landlord hammerson 's navigation .;0.659
50;if landlord 's navigation rises in increased leasing activity .;0.659
50;landlord hammersonis is rising in increased leasing activity , and it 's a lot of leasing activity .;0.659
50;i have a problem with landlord hammerson .;0.659
50;where does home rise from increased leasing activity ?;0.659
50;in the field of leasing , the increase in question has increased in the czech republic .;0.659
50;then landlord 's navigation rises on increased leasing activity .;0.659
50;when landlord is concerned , the navigation in question has increased .;0.659
51;companiesmetro bank raises £400m ahead of london listing;0.29600000000000004
51;london bank raises 400m in london list .;0.29600000000000004
51;i 'm a bank in london list .;0.29600000000000004
51;london where 's in london list .;0.29600000000000004
51;i want to see you in london list .;0.29600000000000004
51;london banks raises 400m , and london sunday has a list .;0.29600000000000004
51;i 'm a bank in london list .;0.29600000000000004
51;where does london work be ahead of london post ?;0.29600000000000004
51;before london list , it raises 400m in london list .;0.29600000000000004
51;first september bank raises 400m in london list .;0.29600000000000004
51;when london friday raises the bank , it raises the bank .;0.29600000000000004
52;new morrisons duo get former boss's support to diffuse investor tension;0.14300000000000002
52;april morrisons are former bossi 's support to further investor tension .;0.14300000000000002
